,composition,Eg (eV)
1156,In0.6As0.6Ga0.4P0.4,1.25
1157,Ga0.5As0.5Zn0.5Se0.5,1.52
1158,Na2CsSb,0.8
1159,TlInS2,2.2
1163,OsPS,1.4
1165,Cu3SmS3,1.82
1166,ZnGeAs2,1.1
1167,InSb0.01As0.99,0.17
1168,Gd2Mo3O12,4.18
1171,BiFeSe3O9,2.54
1172,Cu2CdSnSe4,0.96
1177,CuSbS2,1.38
1179,LiMoIO6,2.8
1180,Hg0.9Cd0.1Se,1.32
1181,Pb0.8Ge0.2Se,0.35
1182,TlSbS2,1.42
1183,Cs2Hg3I8,2.56
1185,SbSeBr,1.87
1186,K2Al2B2O7,6.89
1188,CuInS2,1.54
1190,Zn0.9S0.9Ga0.1P0.1,2.8
1193,CsHgInS3,2.3
1194,Ge0.542Si0.458,2.24
1195,CuInTe2,0.89
1196,HgGa2Se4,1.95
1197,Sr3Ti2O7,3.26
1201,GeTe2,0.3
1202,Zn3V2TeO10,2.96
1203,Zn3As2,0.51
1204,K2Hg3S1.03Se2.97,2.11
1206,InSb,0.24
1207,YNiSb,0.18
1208,NaAsSe2,1.57
1209,PbI2,2.41
1210,As2S3,2.1
1211,RbMn4Ga5Te12,1.53
1212,Cs2Hg5.75Cd0.25S7,1.66
1213,NiO,4
1214,CsI,6.4
1215,Se2B2O7,4.64
1216,Cd3P2,0.5
1217,SiTe2,1.85
1218,Cs2PdP2Se6,1.6
1219,Cu2SnSe3,0.7
1221,BaSi2,1.3
1222,K2CeP2O8,2.46
1223,GaAs0.6P0.4,1.91
1224,Li2HgSnS4,2.32
1225,NaCl,8.5
1227,Pb0.95Ge0.05Te,0.34
1229,KI,5.92
1231,BSb,2.6
1232,CrO3,1.4
1233,CsBiSe2,1.07
1234,Mg3As2,2.2
1235,CsCu2SbS3,1.63
1236,AsI3,2.47
1237,Hg2Cl2,3.8
1238,Bi2Cu0.96Se3I,0.68
1240,NaAsSe2,1.56
1241,TlSe,0.96
1242,Rb4Ag9Sb4S12,2
1243,AgIn9Te14,1.5
1244,Ba2SnSe4,1.9
1245,SnS,1.26
1246,BiOCl,3.46
1248,TiNiSb,0.42
1249,ZnS,3.67
1250,Cu0.01Ga1.99Se2.99,1.99
1251,Cu0.5In1.5Se2.5,1.24
1252,Na8Al8Si38,0.64
1253,AgI,2.92
1254,Cu0.3Ga1.7S2.7,2.6
1255,Ge2Sb2Te5,0.5
1256,CsPbPO4,4.39
1257,KH3Se2O6,4.9
1258,PdPAs,0.45
1259,K2Sm2Ti3O10,3.26
1260,Sn2WO5,2.6
1261,Pb0.95Se0.95Sn0.05Se0.05,0.19
1262,Ga2O3,4.4
1263,SnSe2,1.62
1264,Ga2O3,4.54
1266,NdB6,4.9
1267,GaAs0.5P0.5,2
1269,NiP2,0.3
1270,CsYbMnSe3,1.59
1271,Ba4AgGa5S12,2.52
1272,KInS2,3
1273,Ag2HgI4,2.47
1274,K10Zn4Sn4S17,3.1
1275,Gd1.87Lu2.13Se6,1.56
1277,PdPS,1.4
1279,AgInSe2,1.2
1280,CoTe1.88,0.2
1281,SrIr4In2Ge4,0.25
1282,NaSbF6,3.76
1283,CdIn8Te13,1.02
1284,Cu3GdTe3,0.52
1286,Cu0.99In1.01Se2.01,1.08
1287,In0.5Ga0.5P,1.9
1288,Ge0.9Si0.1,0.8
1289,EuO,1.12
1290,TlGaSe2,1.65
1291,NaCl,8.4
1292,In4Se3,0.64
1293,CsErZnSe3,2.63
1294,InSe,1.3
1295,NaGaGe3Se8,2.35
1296,Bi3F3I4O13,3.7
1297,Pb0.94Sn0.06Se,0.22
1298,SnSe,0.9
1299,Cu3HoSe3,0.16
1300,RbInGeS4,3.1
1301,Cu2Se,1.1
1303,KSbSe2,1.65
1304,Cu2Ga4Te7,1.18
1305,Sm2Sc3,2.3
1306,ZnO,3.25
1307,CdSnAs2,0.41
1308,Cd4As2I3,2.3
1309,WSe2,1.35
1311,Hg2Br2,2.6
1312,CdSb,0.42
1313,GaN,3.48
1315,Cs8Ga8Si38,1.14
1316,Ca5B3O9F,6.53
1317,BiOI,1.89
1320,SnS0.01Se0.99,0.95
1321,TlBr,3.12
1322,Hg6As4CdBr6,1.89
1326,Pb0.98Se0.98Bi0.04Te0.06,0.28
1327,Cs3Bi,0.7
1328,V2O5,2.32
1330,La2S3,2.77
1331,Zn3As2,0.93
1332,Li4.5Mn0.5TeO6,1.97
1333,Rb2Te,4.5
1334,InSb0.4As0.6,0.1
1335,Ce3MoO7,2
1337,BaTiO3,3.1
1338,Cs2TiAg2S4,2.44
1339,InP,1.42
1341,Zn3As2,0.96
1344,Y3GaS6,2.88
1345,Sc2O3,6.2
1346,Y6ZnSi2S14,2.38
1347,Tl2Cu2SnS4,1.4
1348,Ba3MgTa2O9,4.28
1350,LiBiS2,0.19
1351,GaAs,1.51
1352,KNbSe2O7,4
1354,ZnO,3.42
1356,CdGeAs2,1.1
1357,InS,2.07
1358,Nd2S3,2.65
1359,HfO2,5.55
1360,Rb2TiAg2S4,2.33
1362,La3InGe0.5S7,2.61
1363,Ba2InYSe5,2.31
1364,Pb0.8Se0.8Bi0.4Te0.6,0.22
1365,Pb6Sb6Se17,0.8
1366,Ba2GaBiSe5,2.21
1367,GaSe,2.1
1368,As2S3,2.8
1369,As2S3,2.57
1370,CdSe,1.87
1371,K2Cu2Sn2Se6,1.04
1373,As2Se3,1.7
1375,Er2Mo3O12,0.96
1376,Ba4Ge3Se9Cl2,1.89
1377,CuPbBiSe3,0.07
1379,HgCl2,4.45
1380,SrO,5.77
1382,TlSe,0.8
1384,BaPdSe6,2.15
1386,Cu3HoTe3,0.26
1387,ZnTe,2.37
1390,SnSi,0.59
1392,InAs,0.41
1393,Pb0.999TeTl0.001,0.3
1394,Ge40.0Te5.3I8,0.8
1395,AlSb,1.68
1396,Ag3AsSe3,2.18
1397,Cs2Cd3Te4,2.48
1398,PdI2O6,1.31
1399,Ba3BSbS6,2.62
1400,Ba2GaNdSe5,2.18
1401,ZnGeP2,2
1402,K2CuGa3Se6,1.72
1403,CdSiAs2,1.62
1404,NaBiSe2,0.35
1405,Bi2Te2.1Se0.9,0.29
1406,Ta0.67Zr1.33O1.38N1.97,2.31
1407,Cd8B5O15F,3.14
1408,As2Te3,1.59
1409,Hg0.08Zn0.92Te,1.9
1410,TlHgInS3,1.74
1411,KTiPO5,3.54
1412,RbI,6.25
1413,GaS,2.59
1415,As2S3,2.37
1416,Tb2O3,3
1417,LiGaS2,4.15
1418,K2TiCu2S4,2.04
1421,Tl4Ta2S11,1.26
1422,Er3SmSe6,2
1423,Pb0.6Ge0.4Te,0.51
1424,ZnS,3.7
1425,CrTe2,0.17
1426,CuCl,3.2
1427,PbS,0.28
1429,Cu0.9Ga1.1Se2.1,1.59
1430,CuFeTe2,0.16
1431,NdF3,6.15
1432,Pb0.85Se0.85Sn0.15Se0.15,0.22
1433,Hg0.4Cd0.6Se,0.7
1436,GaAs,1.51
1438,Cu0.9In1.1Se2.1,1.06
1439,Cs4BiAs3Se7,1.02
1440,SrMgSnSe4,2
1441,Pb2BO4H,3.76
1443,LiAsSe2,1.11
1444,K2Sn3Sb2S10,2.3
1445,NaSbS2,1.48
1446,CuCl,3.28
1447,LiCa3As2H,1.4
1449,Pb0.8Sn0.2Se,0.06
1452,CdS,2.42
1453,GeSn,0.8
1454,Bi1.6Te3Sb0.4,0.16
1455,GdN,1.54
1456,AgInS2,2
1457,Lu2CrS4,1.75
1458,MnF2,9.9
1459,CuGa2Se4,0.63
1460,La8Sb2S15,2.3
1461,Zn3Sb2,0.22
1464,UY4O3S5,1.95
1465,Ta0.67Zr1.33O0.42N2.61,1.93
1466,InSe,1.26
1468,Tl2GeTe3,0.37
1470,Zn2LiGaO4,4
1471,BiIO3F2,3.97
1473,Ba3B1.5S6Sb0.5,3.01
1475,Pb0.87Sn0.13Se,0.02
1477,AgTe,0.73
1480,DyAs,1
1482,Rb2TeBr6,2.14
1483,In2Se,0.69
1484,GeAs,1.45
1485,YVSeO10,2.7
1486,InSb,0.24
1487,KCu4AsS4,1.9
1488,K2ZnSn3S8,2.3
1489,B2O3,4.9
1490,As2S3,2.21
1491,PdS2,0.75
1492,GaS,2.59
1494,ZnIn2S4,2.86
1495,CdSiP2,2.16
1497,Gd2Mo3O12,4.06
1498,PbS,0.42
1499,AgGaTe2,1.1
1500,ScTiNbO6,3.58
1501,La3Sb0.33SiS7,1.92
1502,Cd4Sb2I3,1.83
1503,Ga2GeTe3,0.85
1504,Pb0.99Sn0.01Se,0.16
1505,GaAs0.15Sb0.85,1.1
1506,LiInS2,3.57
1507,Cu0.7In1.3Se2.3,1.1
1508,PbSe,0.15
1509,Ga0.95Sb0.95Cd0.05Te0.05,0.74
1510,Cu0.3In1.7Se2.7,1.21
1511,Cu0.15Ga1.85Se2.85,1.92
1513,CsYHgSe3,2.54
1514,Pr2Se3,1.8
1515,SiSe2,1.72
1516,Pb2N2SeO9,3.76
1518,Tl2BiP2S7,1.8
1519,SnS0.4Se0.6,0.98
1520,GeS,1.74
1521,Pb0.999Se0.999Sn0.001Se0.001,0.32
1523,NH6PO4,6.81
1526,NaInSnS4,2.4
1527,Cs2TeBr6,2.12
1529,Ca2Ge,1
1532,CuGaO2,1.47
1533,Ni2InVO6,1.92
1534,PrB6,4.9
1535,Rb2Mo3Se3O16,3.1
1536,CdS,2.43
1537,RbInS2,3.3
1538,Ga1.001Sb0.999Se0.003,0.71
1539,BaGa4S7,3.54
1540,CuIn3Te5,1.2
1541,LiMgAs,0.7
1542,InSb,0.18
1543,Ba2ZnV2O8,3.48
1544,TlSe,0.57
1545,Bi2SI2O11,3.74
1546,Pb0.99Ge0.01Te,0.32
1547,ZrSe3,1.25
1548,ZnTe,2.26
1549,ZnSb,1.05
1552,BiPO4,3.85
1553,Na2Se,2
1554,InAs,0.35
1555,La4FeSb2S10,1
1556,GdSb2BO8,3.48
1558,SiSn,0.59
1559,Ba2Ga8SiS16,3.4
1560,PbS,0.37
1562,Cu3AsS4,1.48
1563,Ag3SbS3,2.1
1564,K2Cu2Sn2S6,1.47
1565,Sb2Te3,0.35
1566,Zn0.8Hg0.2Se,1.4
1567,EuO,1.12
1569,GaAs0.1P0.9,1.22
1570,HgO,2.48
1571,NaNb2PS10,1.72
1572,CuGa3Se5,1.75
1574,TlInS2,2.25
1575,ScTa2O5N,2.67
1577,CdAs2,1.13
1578,Ag0.25Cd0.5In2.25Te4,0.39
1579,In6S7,0.95
1581,TlPrSe2,1.18
1583,GeSe2,2.3
1584,ZnO,3.44
1585,ZnTe,2.1
1586,In2Se3,1.38
1587,Ag2SnSe3,0.84
1588,AgGaSe2,1.3
1589,CdSnAs2,0.31
1590,InSb0.5As0.5,0.1
1591,B4C,1.64
1592,GdH2NO5,4.84
1593,Cu2GeSe3,0.85
1594,TlCl,3.23
1595,GaAs0.7Sb0.3,0.67
1596,PbI2,2.55
1597,ZnO,3.44
1598,GaN,3.48
1599,PdO,0.8
1600,Tl2TeS3,1.6
1601,AgFeTe2,0.58
1602,GeS2,3.43
1603,ZnS,3.82
1604,CaPr2S4,2.9
1606,InP,1.42
1607,InSb,0.23
1608,Ba2BiGaS5,2.38
1609,Cd3As2,0.19
1610,Bi24VO41,3.25
1612,SnS,1.3
1613,Pr1.29Lu0.71S3,1.38
1614,AgAsSe2,1.4
1615,TlInSe2,1.1
1616,InAs,0.33
1617,TaGaSe2,2.12
1618,AlN,6.03
1619,Sr8.007Ge2.043Bi7.949Se24,0.74
1621,In0.4As0.4Ga0.6P0.6,1.85
1623,Cu3TbTe3,0.46
1624,Na2CdGe2S6,2.57
1625,La2Ga2GeS8,2.78
1628,Ba7B3O9F5,4.94
1629,Ag2GeSe3,0.9
1630,In2Se,0.65
1631,Ge0.4Si0.6,0.94
1632,CdIn2Te4,1.17
1634,SnS0.25Se0.75,0.99
1635,Ag3AsS3,1.98
1636,Ge0.838Si0.162,1.32
1637,DyPO4,6.38
1638,HoIn3S6,1.23
1639,Ag2S,1.23
1641,Hg0.99Cd0.01Se,1.72
1642,PbTe0.99Se0.01,0.3
1645,CsInGeSe4,2.32
1646,ZnSe,2.82
1647,RbNb4Br11,0.46
1648,CuP2,1.45
1649,SnSe,0.95
1650,PbSe0.95S0.05,0.26
1651,CsI,6.37
1653,Ba3FeS4Br,1.65
1654,CdP4,1.15
1655,PrIn3S6,1.14
1657,ZnIn2Te4,1.8
1659,MgGeN2,4.2
1660,Ca4Bi6O13,2.76
1661,PrCuOS,3.03
1663,H6PtI6O20,2.12
1664,TlBr,3.3
1665,Hg0.77Cd0.23Te,0.12
1666,PbTe,0.3
1668,SnTe,0.3
1669,Li2In2SiSe6,2.54
1670,In0.3P0.3Ga0.7As0.7,1.67
1671,GaAs0.2P0.8,2.2
1672,RbCd4In5Se12,1.57
1673,Sm3Te4,0.51
1674,YbSb4Te7,0.22
1675,CsLiB6O10,6.89
1676,DyN,2.1
1678,Zn0.85S0.85Ga0.15P0.15,2.4
1679,K8Ce2I18O53,2.34
1681,Ba3Er2P4S16,3.3
1682,Li2ZnGeSe4,1.86
1685,PbBiO2Br,2.3
1686,Tl2GeTe3,0.36
1688,WSe2,1.57
1689,PrLuSe3,1.56
1690,BP,4.2
1692,Ga1.02Sb0.98Te0.06,0.68
1694,GdTe,1.3
1695,Pb0.59Ge0.41Te,0.49
1696,ZnSe,2.83
1697,CuZn2InTe4,1.05
1698,Cs2Al2B2O7,4.13
1699,Ba8Hg4S5Se7,1.98
1700,GaAs,1.44
1701,Pb0.9Se0.9Sn0.1Se0.1,0.24
1702,CdSb,0.47
1703,La2O2ZnSe2,3.4
1704,AgFeSe2,0.23
1705,CuBr,3.07
1706,GaSe,2.12
1708,In0.97As0.97Cd0.03Te0.03,0.71
1709,WO3,2.7
1710,Hg2Cl2,3.5
1711,GaAs,1.51
1712,Sb2S3,1.69
1713,K2Ag3Sb3S7,2.2
1715,InS,2.45
1717,K2ReH9,5.71
1718,TlPSe2,0.6
1719,AgGaSe2,1.66
1720,Eu3Se4,0.58
1721,Ge0.999Si0.001,0.65
1722,Hg2Cu3Te6O16,2.56
1723,Ag8SnSe6,0.71
1724,MgO,7.67
1725,Bi2AsO4Cl,3.43
1726,Cs2TeI6,1.5
1727,Ag2GeS3,1.98
1729,Cd4YB3O10,3.78
1731,OsP4,0.4
1732,AgSbS2,1.88
1733,TiTe2,1
1734,Pb2SbS2I3,2
1735,Cs3Bi2Br9,2.5
1736,La3Mg0.5SnS14,1.71
1737,ZnIn2S4,2.85
1738,CdS,2.6
1739,TlBiTe2,0.12
1740,Sc2O3,6
1741,InSe,1.12
1742,GaSb,0.73
1744,Ba2InGdSe5,2.24
1745,Cu3Ta7O19,2.47
1746,GaP,2.77
1747,PbTe,0.19
1749,K2CdP2Se6,2.58
1750,K1.83Cd1.83Bi2.17S6,1.37
1751,In4Te3,0.42
1754,Ce4Ge3S12,2.3
1756,CuGa3Te5,1.09
1758,KBi3S5,1.21
1759,CsCaBO3,4.2
1760,Hg0.65Cd0.35Te,0.28
1762,Cu3GdS3,1.62
1763,Cu3TmTe3,0.14
1764,LiBi3O4Cl2,3.35
1766,TlCl,3.46
1767,KSi2P3,1.72
1768,NaNO2,3.13
1770,AgSbSe2,0.67
1771,La2YbCuS5,1.45
1773,CdSe,1.82
1774,Mg2Sn,0.14
1775,Ga0.28In0.72As,0.55
1776,ZnAs2,0.9
1777,Ag7AsSe6,1
1778,Ag2CdGeS4,2.32
1780,AgLi0.33Ti0.67O2,2.7
1781,Hg0.06Zn0.94Te,2.03
1782,YbGa2Se4,1.8
1784,Pb0.8Sn0.2Te,0.11
1785,Ba4B11O20F,7.1
1786,GaSe,2.11
1787,In2O3,2.8
1788,CrSb2,0.14
1789,ZnIn2S4,2.5
1790,Na2Nb4Se4O19,3.56
1791,Cd3As2,0.12
1792,Bi2Te1.2Se1.8,0.28
1795,TlInS2,2.52
1796,KIO3,3.71
1797,Rb2Hg3Ge2S8,2.8
1798,Rb2TeI6,1.4
1800,GeSi,0.88
1801,Cs5P5Se12,2.17
1802,NaAsS2,2.23
1804,La2Se3,1.7
1805,TaGaS2,3.4
1806,MnP4,0.28
1807,CdSe,1.82
1808,K10Zn4Ge4S17,3.34
1809,YbS,0.98
1810,Tl2Au2Sn2Se6,1.2
1811,Cs2Bi2Cd2S5,1.7
1813,TeSe3,1.87
1814,Cr3Se4,1.59
1815,Ga0.65Al0.35As,2
1816,K2Bi8Se13,0.47
1817,Zn6S5Cl2,2.71
1818,CuInSe2,0.8
1819,CuInTe2,0.88
1822,Pb0.999Se0.999Bi0.002Te0.003,0.79
1823,Ag2O,1.57
1824,Pb3B3O10N,3.64
1825,MnVTe2O8,1.9
1826,Cd0.99Te0.99Al0.01Sb0.01,1.6
1827,KTbSe4,1.65
1828,GaAs,1.42
1829,ZnAs2,1.2
1830,SrBiO2Cl,3.52
1831,FeSi2,1
1832,Ho2Mo3O12,1.07
1833,K2SmP2S7,2.59
1834,K10Zn4Sn4S17,3.2
1835,CdS,2.58
1836,InSb,0.23
1837,CdS,2.52
1838,AlSb,1.7
1840,Mg2Sn,0.35
1841,Ba5V3O12F,3.85
1843,NaCd4P3,1.1
1844,AlSb,2.22
1846,EuSb2Se4,0.95
1847,Pb0.93TeIn0.07,0.32
1849,AsSeI,1.76
1850,InS,2.06
1851,Pb0.999Sn0.001Te,0.21
1852,In0.94As0.94Cd0.06Te0.06,0.68
1853,TlN,1.4
1855,ZnSb,1.09
1856,AgAlO2,3.6
1857,KF,10.3
1859,AgAlTe2,1.9
1861,Sb2Se3,1
1862,PbTe,0.29
1865,LiPbSb3S6,1.6
1867,TlCl,3.8
1869,SnGa4Se7,2.55
1871,Cd3P2,0.59
1873,Hg0.7Cd0.3Se,1.1
1874,PbSe,0.26
1875,PbS,0.6
1876,PbI2,2.54
1877,GaAs,1.48
1878,InP,1.41
1880,Na3Sn2F6Cl,3.88
1881,SnS,1.22
1882,CdS,2.53
1883,ZnO,3.35
1884,K5In3P6Se19,2.2
1885,SnI4,2.38
1887,Li2B12Si2,2.27
1888,PbSb2Se4,1.8
1889,PdS,0.5
1890,Cd0.9Te0.9Al0.1Sb0.1,1.36
1892,CsCl,8.1
1894,KBiSiS4,2.25
1895,Ba4Si3Se9Cl2,1.76
1897,FeIn2Se4,1.15
1898,CsNbSe2O7,4.2
1900,Ga0.99Sb0.99Cd0.01Te0.01,0.72
1901,Cs3Nb2AsSe11,1.35
1902,K3Ta2AsS11,2.21
1903,GaSb,0.81
1905,Ba5Ga6SnP12,1.21
1906,DyIn3S6,1.22
1908,Pb4V2Se6O21,3.37
1909,EuGa2S4,2.25
1910,PbMnIn2S5,1.45
1911,ZnTe,2.28
1912,PbCdP4O12,4.85
1914,Na2CdSnS4,2.52
1915,LiCsCO3,6.19
1917,PbTe,0.19
1918,SbI3,2.22
1919,CdIn2S4,2
1920,HgSe,0.24
1921,Tl3CuNb2Se12,0.8
1922,YH2NO5,4.83
1923,Mg3P2,1.4
1924,Zn0.4Hg0.6Se,0.42
1925,InSb,0.27
1926,Rb3Sb2I9,1.94
1927,In0.6Al0.4P,2.12
1928,Ba4Sb3S8Cl,2.09
1930,ZnSiP2,2.07
1931,Bi2O3,2.91
1932,CdTe,1.45
1933,In6Se7,0.72
1934,BaTiO3,3.04
1935,NaInS2,1.9
1936,Bi14.7In11.3S38,1.45
1937,CdGa2Se4,2.48
1938,Bi2S3,1.45
1939,Cs2CdP2Se6,2.63
1941,Pb0.93TeTl0.07,0.54
1942,ErBiW2O9,3.26
1944,LiAsSe2,1.5
1945,LiGaGe2Se6,2.64
1947,GdAs,0.63
1950,Ba2InErSe5,2.29
1951,CsPSe6,1.9
1952,Sb2Se3,1.11
1955,CdS0.8Se0.2,2.23
1956,ZnTe,2.35
1957,Gd2S3,2.55
1958,Na2TeS3,2.35
1959,AgPbBiS3,1.2
1960,Hg4As2ZrCl6,2.48
1961,BaBiO2Cl,3.71
1962,CdSnAs2,0.4
1963,CdGeAs2,0.85
1964,RbYbZnSe3,2.07
1965,CdGeAs2,0.72
1966,Cd4As2Br3,1.78
1968,NaInTe2,1.6
1969,FePS,0.25
1970,PtSb2,0.06
1971,Tm2O3,4.53
1972,PtAs2,0.8
1973,K1.46Sn3.09Bi7.45Se15,0.39
1974,CdSiAs2,1.52
1975,NaBa2Cu3S5,0.45
1976,GaN,3.39
1977,RuS2,1.8
1978,KEuAsS4,1.89
1979,Pb0.61Ge0.39Te,0.56
1980,TlSe,0.65
1981,Cu3YbSe3,0.2
1982,Pb0.96TeTl0.04,0.57
1983,Pr2Se3,1.9
1986,PbGa2Se4,1.83
1987,Mg2Pb,0.04
1988,Ba2B6O11,5.17
1990,TlAsS2,2.22
1991,InSe,1.25
1992,PbO2,1.5
1994,Pb0.99TeGa0.01,0.42
1995,BaRh2Ge4Se6,1.09
1996,CsGeI3,1.6
1997,RbBiS2,1.36
1998,Rb1.45Pb3.1Sb7.45Se15,0.45
2000,MgSiN2,4.05
2001,CoSb3,0.5
2002,MgTe,3.6
2003,Ba2InDySe5,2.27
2004,Ba4AgInSe6,2.41
2005,KH3Se2O6,4.88
2006,ZnTe,2.3
2007,PdPSe,0.15
2008,B2O3,4.89
2009,BiFSeO3,3.83
2010,KCl,8.5
2011,Pb0.9Sn0.1Te,0.16
2012,ZnIn2Se4,1.82
2014,Cd3As2,0.43
2016,CdSe,1.84
2017,MoO3,3.66
2018,Zn2In2S5,2.65
2020,PbO2,1.7
2021,Si2Te3,2.18
2022,InP,1.35
2023,LaVI5O16,3.58
2024,KBiS2,0.9
2025,CdSe,1.7
2026,BAs,1.45
2027,CdSb2Se3Br2,1.4
2029,BaZn2As2,0.23
2031,YbSb2S4,1.12
2032,HgTe,0.15
2033,CdTe,1.56
2034,AgCl,5.13
2035,CuInSe2,1.01
2036,TlSbSe2,0.82
2037,GeS,1.59
2038,Th2GeSe2,1.98
2039,Rb2Cu2Sb2S5,1.6
2040,CuGaS2,2.43
2041,Ba1.88Ta15O32,0.13
2043,Cu0.35Ga1.65S2.65,2.53
2044,Li4.5Ga0.5TeO6,4.99
2045,KGaSnSe4,1.73
2046,AlN,6.09
2047,Cu0.95In1.05Se2.05,1.07
2048,Cu2Te,1.08
2049,CdIn2Se4,1.45
2051,Hg0.8Zn0.2Te,0.08
2053,Zn0.3S0.3Ga0.7P0.7,2.3
2055,KSbS2O8,4.64
2056,CdS0.99Se0.01,2.4
2057,RbCl,8.29
2058,Ba2InNdTe5,1.37
2059,Ba2GaSmSe5,2.27
2060,ZnI2,4.53
2061,K2CuNbSe4,2.14
2062,InBi2S4Br,1.5
2063,Ga0.01P0.01Zn0.99Se0.99,2.6
2064,TiS3,0.9
2065,ZnSe,2.8
2067,SbSI,1.92
2068,Ba3Ta2Se9,1.6
2069,ZnSnAs2,0.66
2071,Ce10OSe14,1.93
2072,K2P2Se6,2.08
2073,EuSb4Te7,0.54
2074,CsAgSb4S7,2.04
2075,WSe2,1.49
2076,TlSe,0.79
2077,Ca3Sb2,1.4
2079,Na8CsB21O36,4.67
2080,Cu2P2S6,2.2
2083,TlBr,2.64
2084,ZrNiSb,0.55
2085,Mg2Sn,0.34
2086,PtS2,0.75
2087,CeFMoO4,2.52
2088,InSb,0.24
2089,Rh0.67S2,1.5
2090,Nd4Ge3S12,2.62
2091,GdB66,1.27
2093,CuNb3O8,1.47
2095,Pb0.92Sn0.08Te,0.13
2096,Cs2HgI2Cl2,2.15
2097,PbTe,0.25
2098,ZnS,3.66
2099,Ge0.891Si0.109,1.13
2100,Ba2GaSbSe5,2.51
2102,AgAlSe2,2.55
2103,Pb0.999Sn0.001Te,0.23
2104,BaF2,9.2
2105,InAs,0.42
2106,Ge0.8Si0.2,0.86
2107,GaSe,2.13
2108,InS,1.8
2110,YbS,1.33
2111,TlCu3Lu2Se5,2.12
2112,GaTe,1.67
2113,LiF,11.7
2115,Gd3.04Sc0.96S6,1.5
2116,Pb0.999TeGa0.001,0.3
2118,CdSiP2,2.25
2119,Ba2ScTaO6,4.19
2121,La2MnNiO6,1.2
2122,ZnIn2S4,2.7
2123,TlPS2,1.6
2124,Mg2Sn,0.31
2125,Li2ZnSnSe4,1.87
2128,ZnSnSb2,0.3
2129,InP,1.35
2132,CdTe,1.6
2133,Ga2Te3,1.32
2135,CuI,3.12
2136,SnS0.8Se0.2,1.07
2137,Ga2GeTe3,0.84
2138,Ge0.92Si0.08,0.72
2139,Ge0.93Si0.07,1.04
2141,Bi2I4O13,3.3
2142,NaGe3P3,2.06
2144,PtSe2,0.1
2145,GeS,1.74
2146,Cu2ZnSnTe4,1.39
2147,AlVTe2O8,2.9
2148,PtP2,0.8
2149,AgAlTe2,1.8
2150,Bi3In4S10,1.42
2152,AlP,2.51
2153,Ag2.7Ba6Sn4.3S16,1.38
2154,SnGeS3,2.23
2155,CaSm2S4,2.05
2156,K8Al8Si38,1.4
2157,BiSI,1.56
2158,Ce2YbCuS5,1.37
2159,Cu2O,2.59
2160,PbCl2,3.82
2162,BaClBF4,6.89
2163,Sn2S,0.95
2164,CdSb,0.43
2165,Pb0.995TeTl0.005,0.48
2167,Cs2Te,3.5
2168,Th2Se5,0.37
2169,Fe2TiSi,0.4
2170,Hg0.1Zn0.9Te,1.74
2171,PbGeS3,2.4
2172,Na2KSb,1
2173,Mn2.04Gd1.47In0.49S5,1.75
2174,KAg2SbS4,2.2
2175,TlCl,3.23
2176,InSe,1.29
2177,Cs2CuNbSe4,2.19
2178,ZnIn2S4,2.9
2179,GaSb,0.67
2181,La3CuGaSe7,1.36
2182,Cu2CdGeSe4,1.2
2185,Ga2Te3O9,4.15
2186,HfS3,2.8
2189,KInSe2,2.68
2190,ZnO,3.3
2192,Hg0.3Cd0.7Se,0.55
2193,TaGaSe2,2.03
2196,Cs2Cd3B16O28,4.76
2197,TlInTe2,0.68
2198,CuCl,3.22
2199,HfS2,2.9
2201,Cu0.35Ga1.65Se2.65,1.81
2202,KIO3,3.87
2203,K2AgSnSe4,1.8
2205,SmB66,0.8
2208,RbCl,8.3
2210,CsSbS2,2.8
2211,GaAs,1.4
2212,CdSe,1.74
2213,Li6Al2Te8O22,3.63
2214,Rb3Bi2Br9,2.62
2215,SnS,1.25
2216,Pr10OSe14,1.89
2217,EuS,1.65
2218,CuInSe2,0.92
2220,Ag2SnS3,1.37
2221,BaTe,3.4
2222,Pb2B3O7.5H2,4.42
2223,YbSb2Te4,0.34
2224,Cs2Zn3Se4O12,4.3
2225,CeScO3,3.2
2226,SnSe,0.95
2227,Ag3AsS3,2.1
2228,Cu3AsSe4,0.88
2229,AlSb,1.8
2230,ZnTe,2.39
2231,Tl2TeI6,1.47
2232,AlB12,2.2
2233,Zn0.9Hg0.1Se,1.75
2234,ZnIn2S4,2.65
2235,Cd4As2Br3,1.93
2236,PbBr2,3.2
2237,AlB12,1.9
2238,Rh0.67Se2,0.7
2239,Ge0.001Si0.999,1.09
2240,Ga0.95Sb0.95Zn0.05Te0.05,0.85
2241,LiPbB9O15,4.75
2242,La2V2IO9,3.63
2244,Sn2SbS2I3,1.5
2245,Cd3P2,0.56
2246,Ba2B6O9(OH)4,6.53
2247,Nd2Se3,1.7
2248,Nd4InSbSe9,1.57
2249,Sm2O3,5
2250,ZnS,3.58
2251,TlInSe2,1.2
2252,YbTe,1.8
2254,TlInSe2,1.4
2256,DyTe1.7,0.35
2257,Na2CdGe2S6,3.21
2258,NH6PO4,6.8
2260,AgGaS2,2.73
2261,InSb2Se4Br,1.35
2262,CdTeO3,3.55
2264,Sm4InSbS9,2.13
2265,Cs4Pb4Ge5S16,1.95
2267,Cd3As2,0.17
2268,CsSmCdSe3,2.47
2269,CaF2,9.92
2270,ErN,2.4
